gameid,gamedate,home_teamid,away_teamid,home_win_avg_prev5,away_win_avg_prev5,home_points_avg_prev5,away_points_avg_prev5,home_opponent_points_avg_prev5,away_opponent_points_avg_prev5,home_assists_avg_prev5,away_assists_avg_prev5,home_blocks_avg_prev5,away_blocks_avg_prev5,home_steals_avg_prev5,away_steals_avg_prev5,home_fieldgoalsattempted_avg_prev5,away_fieldgoalsattempted_avg_prev5,home_fieldgoalspercentage_avg_prev5,away_fieldgoalspercentage_avg_prev5,home_threepointersattempted_avg_prev5,away_threepointersattempted_avg_prev5,home_threepointerspercentage_avg_prev5,away_threepointerspercentage_avg_prev5,home_freethrowsattempted_avg_prev5,away_freethrowsattempted_avg_prev5,home_freethrowspercentage_avg_prev5,away_freethrowspercentage_avg_prev5,home_reboundstotal_avg_prev5,away_reboundstotal_avg_prev5,home_foulspersonal_avg_prev5,away_foulspersonal_avg_prev5,home_turnovers_avg_prev5,away_turnovers_avg_prev5
22100064,2021-10-27,1610612746,1610612739,0.4,0.6,106.2,104.8,109.8,108,26.2,26.4,6.2,5,9.4,7.6,92.6,83.2,0.4274,0.4584,35.8,31.6,0.30240000000000006,0.3314,20.4,25.2,0.8028000000000001,0.7068,47.8,46,21,16.8,16.4,18
22100072,2021-10-29,1610612751,1610612754,0.6,0.2,103.6,113.8,104.6,120.2,22.6,25.4,5.6,7.6,8.8,4.8,87,89.4,0.44400000000000006,0.4806,37.6,38.6,0.33420000000000005,0.35940000000000005,16.8,17.6,0.8310000000000001,0.7796,44.6,47.4,20.2,22.2,15.2,18
22100073,2021-10-29,1610612748,1610612766,1,0.8,118.8,114,97.4,103.8,25.2,26,3.8,5.4,8.8,10.8,89.4,88.6,0.4812,0.4922000000000001,35,32.4,0.37920000000000004,0.36060000000000003,24.2,19.4,0.7986,0.7918,47.4,47.2,20.8,18.4,14.4,17.2
22100077,2021-10-29,1610612747,1610612739,0.2,0.8,106.6,104.2,117.6,97.6,24,24.6,6,4,9,8.2,87.4,82.6,0.43900000000000006,0.46840000000000004,35.8,29,0.4022,0.30079999999999996,22.8,23.6,0.674,0.7344,43,47.2,21.6,16.6,18.8,17.8
22100071,2021-10-29,1610612761,1610612753,0.4,0.2,102.2,96,100.8,107.2,20.4,20.8,4.4,6.6,12.2,6.4,91,86,0.42140000000000005,0.39740000000000003,34.6,38.4,0.3454,0.31820000000000004,20,20.8,0.696,0.736,46.8,47.4,22.2,22.4,17,16.2
22100092,2021-10-31,1610612751,1610612765,0.6,0,100.8,96,101.2,112.8,21.2,20.6,5.4,5.6,7.8,7.6,84.8,87,0.43220000000000003,0.4114,35,33,0.3034,0.2664,20.6,21,0.8368,0.7298,47.2,42.2,20,18.4,16,18
22100091,2021-10-31,1610612749,1610612762,0.4,0.4,112.2,103.4,108.6,104.2,24,19,5.4,4.6,7.8,9.2,94,93,0.45260000000000006,0.40099999999999997,42.4,44.2,0.345,0.31179999999999997,17.2,19.6,0.7242000000000001,0.7706,49.6,50,17.4,21,13.2,16.4
22100095,2021-11-01,1610612754,1610612759,0.4,0.4,101.6,100.6,104.8,102.8,23,24.2,5.4,4.4,9.8,8.6,89.2,93,0.42400000000000004,0.44020000000000004,37.4,31,0.29300000000000004,0.3124,20,13.8,0.741,0.6544000000000001,44.8,47,18.8,16.2,16.6,16.6
22100094,2021-11-01,1610612766,1610612739,0.4,0.4,106.8,101,126,102.4,25.2,25,4.4,3.4,7.2,8.2,96.4,86.8,0.4064,0.43920000000000003,35.4,32.2,0.3458,0.2938,23.2,18.8,0.6494,0.7826000000000001,44.2,45,20.4,16.6,13.8,16.4
22100101,2021-11-01,1610612750,1610612753,0.6,0.2,105.2,101.8,101.8,110.8,23.8,21,8.6,5.4,12.6,5.2,91.2,85.8,0.4166,0.42619999999999997,42,36.4,0.33599999999999997,0.3666,19.8,21.4,0.7628,0.7202000000000001,45.8,46.4,23,22.4,17.4,16.4
22100100,2021-11-01,1610612763,1610612743,0.6,0.6,107.2,105,102,105.2,24.8,21.8,7.6,4.2,11.4,9,92.2,86.2,0.4406,0.45640000000000003,39.4,39.2,0.3302,0.34479999999999994,14.6,17.8,0.917,0.7154,47.2,42.8,16.4,19.6,14.6,16
